#x002d 3.2226562 1.0605469
#x0041 8.027344 8.589844
#x0042 6.4921875 8.589844
#x0043 7.5878906 8.8828125
#x0044 7.1015625 8.589844
#x0045 6.4160156 8.589844
#x0046 5.794922 8.589844
#x0047 7.9453125 8.8828125
#x0048 6.7441406 8.589844
#x0049 1.1425781 8.589844
#x004a 4.716797 8.736328
#x004b 7.1015625 8.589844
#x004c 5.373047 8.589844
#x004d 8.167969 8.589844
#x004e 6.7558594 8.589844
#x004f 8.220703 8.8828125
#x0050 6.5507812 8.589844
#x0051 8.378906 9.410156
#x0052 7.5703125 8.589844
#x0053 6.84375 8.8828125
#x0054 6.8027344 8.589844
#x0055 6.7558594 8.736328
#x0056 7.8515625 8.589844
#x0057 11.050781 8.589844
#x0058 7.875 8.589844
#x0059 7.875 8.589844
#x005a 6.7910156 8.589844
#x0061 5.736328 6.5039062
#x0062 5.4023438 8.736328
#x0063 5.4257812 6.5039062
#x0064 5.3964844 8.736328
#x0065 5.736328 6.5039062
#x0066 3.6386719 8.736328
#x0067 5.484375 8.876953
#x0068 5.080078 8.589844
#x0069 1.0546875 8.589844
#x006a 2.3964844 11.097656
#x006b 5.1621094 8.589844
#x006c 1.0546875 8.589844
#x006d 8.449219 6.357422
#x006e 5.0683594 6.357422
#x006f 5.830078 6.5039062
#x0070 5.4023438 8.748047
#x0071 5.3964844 8.748047
#x0072 3.3867188 6.357422
#x0073 5.1621094 6.5039062
#x0074 3.0234375 8.484375
#x0075 5.0507812 6.3632812
#x0076 5.6953125 6.216797
#x0077 8.542969 6.216797
#x0078 5.8359375 6.216797
#x0079 5.7128906 8.736328
#x007a 5.5078125 6.216797
#x0030 5.595703 8.777344
#x0031 3.1699219 8.630859
#x0032 5.689453 8.630859
#x0033 5.6308594 8.777344
#x0034 5.935547 8.589844
#x0035 5.689453 8.619141
#x0036 5.6660156 8.777344
#x0037 5.560547 8.472656
#x0038 5.654297 8.777344
#x0039 5.642578 8.777344
#x00c0 8.027344 10.798828
#x00c1 8.027344 10.798828
#x00c2 8.027344 10.798828
#x00c3 8.027344 10.628906
#x00c4 8.027344 10.5703125
#x00c5 8.027344 11.0390625
#x00c7 7.5996094 11.244141
#x00c8 6.4160156 10.798828
#x00c9 6.4160156 10.798828
#x00ca 6.4160156 10.798828
#x00cb 6.4160156 10.5703125
#x00cc 2.1621094 10.798828
#x00cd 2.1621094 10.798828
#x00ce 3.703125 10.798828
#x00cf 3.2519531 10.5703125
#x00d1 6.7558594 10.605469
#x00d2 8.220703 10.9453125
#x00d3 8.220703 10.9453125
#x00d4 8.220703 10.9453125
#x00d5 8.220703 10.751953
#x00d6 8.220703 10.716797
#x00d8 8.4140625 9.251953
#x00d9 6.7558594 10.9453125
#x00da 6.7558594 10.9453125
#x00db 6.7558594 10.9453125
#x00dc 6.7558594 10.716797
#x00dd 7.875 10.798828
#x00df 6.064453 8.8828125
#x00e0 5.736328 8.8828125
#x00e1 5.736328 8.8828125
#x00e2 5.736328 8.8828125
#x00e3 5.736328 8.736328
#x00e4 5.736328 8.677734
#x00e5 5.736328 9.169922
#x00e7 5.4257812 8.707031
#x00e8 5.736328 8.8828125
#x00e9 5.736328 8.8828125
#x00ea 5.736328 8.8828125
#x00eb 5.736328 8.677734
#x00ec 2.1621094 8.736328
#x00ed 2.1621094 8.736328
#x00ee 3.703125 8.736328
#x00ef 3.2519531 8.53125
#x00f1 5.0683594 8.589844
#x00f2 5.830078 8.8828125
#x00f3 5.830078 8.8828125
#x00f4 5.830078 8.8828125
#x00f5 5.830078 8.736328
#x00f6 5.830078 8.677734
#x00f8 5.830078 7.0664062
#x00f9 5.0507812 8.8828125
#x00fa 5.0507812 8.8828125
#x00fb 5.0507812 8.8828125
#x00fc 5.0507812 8.677734
#x00fd 5.7128906 11.255859
#x00db 6.7558594 10.9453125
#x00ee 3.703125 8.736328
#x0393 5.361328 8.589844
#x0394 8.027344 8.589844
#x0398 8.220703 8.8828125
#x039b 7.8515625 8.589844
#x039e 6.5273438 8.589844
#x03a0 6.7441406 8.589844
#x03a3 6.0878906 8.589844
#x03d2 7.453125 8.630859
#x03a6 8.572266 9.152344
#x03a8 8.5546875 8.589844
#x03a9 7.8515625 8.736328
#x03b1 6.0703125 6.5039062
#x03b2 5.5429688 11.126953
#x03b3 5.6953125 8.607422
#x03b4 5.841797 8.736328
#x03b5 4.5117188 6.5039062
#x03b6 4.7753906 11.109375
#x03b7 5.0683594 8.748047
#x03b8 5.595703 8.8828125
#x03b9 1.0546875 6.216797
#x03ba 5.2089844 6.216797
#x03bb 5.6953125 8.589844
#x03bc 5.0507812 8.607422
#x03bd 5.6953125 6.216797
#x03be 4.6171875 11.255859
#x03c0 7.751953 6.216797
#x03c1 5.642578 8.748047
#x03c3 6.7441406 6.5566406
#x03c4 4.201172 6.216797
#x03c5 4.9804688 6.3632812
#x03c6 6.8847656 10.980469
#x03c7 6.0996094 8.607422
#x03c8 7.154297 8.607422
#x03c9 8.349609 6.3632812
#x03b5 4.5117188 6.5039062
#x03d1 6.8671875 8.8828125
#x03d6 8.724609 6.3632812
#x03f1 5.642578 8.865234
#x03c2 5.15625 8.876953
#x03d5 6.9433594 8.748047
#x0100 8.027344 10.001953
#x0101 5.736328 8.5078125
#x0102 8.027344 10.658203
#x0103 5.736328 8.8125
#x0104 9.105469 11.0859375
#x0105 6.392578 8.853516
#x0106 7.5878906 11.1328125
#x0107 5.4257812 8.8828125
#x0108 7.5878906 11.109375
#x0109 5.4257812 8.8828125
#x010a 7.5878906 10.669922
#x010b 5.4257812 8.677734
#x010c 7.5878906 11.1328125
#x010d 5.4257812 8.8828125
#x010e 7.1015625 10.986328
#x010f 7.0664062 8.736328
#x0110 8.074219 8.589844
#x0111 6.1757812 8.736328
#x0112 6.4160156 10.353516
#x0113 5.736328 8.5078125
#x0114 6.4160156 10.822266
#x0115 5.736328 8.8125
#x0116 6.4160156 10.5234375
#x0117 5.736328 8.677734
#x0118 6.7910156 11.0859375
#x0119 5.736328 8.853516
#x011a 6.4160156 10.986328
#x011b 5.736328 8.8828125
#x011c 7.9453125 11.109375
#x011d 5.484375 11.255859
#x011e 7.9453125 10.9921875
#x011f 5.484375 11.185547
#x0120 7.9453125 10.669922
#x0121 5.484375 11.050781
#x0122 7.9453125 11.255859
#x01f5 5.484375 11.255859
#x0124 6.7441406 10.962891
#x0125 5.080078 10.962891
#x0126 8.677734 8.589844
#x0127 5.859375 8.589844
#x0128 3.9257812 10.675781
#x0129 3.9257812 8.6015625
#x012a 3.65625 10.189453
#x012b 3.6621094 8.361328
#x012c 3.46875 10.845703
#x012d 3.46875 8.666016
#x012e 2.5722656 11.0859375
#x012f 2.1621094 11.0859375
#x0130 1.1425781 10.5234375
#x0131 1.0546875 6.216797
#x0132 6.9375 8.736328
#x0133 3.7265625 11.097656
#x0134 5.9882812 11.109375
#x0135 3.7089844 11.244141
#x0136 7.1015625 11.109375
#x0137 5.1621094 11.109375
#x0138 4.5585938 6.216797
#x0139 5.373047 10.986328
#x013a 2.1621094 10.986328
#x013b 5.373047 11.109375
#x013c 1.2246094 11.109375
#x013d 6.6210938 10.986328
#x013e 3.703125 10.986328
#x013f 5.373047 8.589844
#x0140 2.9472656 8.589844
#x0141 6.251953 8.589844
#x0142 2.6015625 8.589844
