#x0041,8.003998
#x0042,8.003998
#x0043,8.664001
#x0044,8.664001
#x0045,8.003998
#x0046,7.3320007
#x0047,9.335999
#x0048,8.664001
#x0049,3.3359985
#x004a,6.0
#x004b,8.003998
#x004c,6.671997
#x004d,9.996002
#x004e,8.664001
#x004f,9.335999
#x0050,8.003998
#x0051,9.335999
#x0052,8.664001
#x0053,8.003998
#x0054,7.3320007
#x0055,8.664001
#x0056,8.003998
#x0057,11.328003
#x0058,8.003998
#x0059,8.003998
#x005a,7.3320007
#x0061,6.671997
#x0062,6.671997
#x0063,6.0
#x0064,6.671997
#x0065,6.671997
#x0066,3.3359985
#x0067,6.671997
#x0068,6.671997
#x0069,2.6640015
#x006a,2.6640015
#x006b,6.0
#x006c,2.6640015
#x006d,9.996002
#x006e,6.671997
#x006f,6.671997
#x0070,6.671997
#x0071,6.671997
#x0072,3.9960022
#x0073,6.0
#x0074,3.3359985
#x0075,6.671997
#x0076,6.0
#x0077,8.664001
#x0078,6.0
#x0079,6.0
#x007a,6.0
#x0030,6.671997
#x0031,6.671997
#x0032,6.671997
#x0033,6.671997
#x0034,6.671997
#x0035,6.671997
#x0036,6.671997
#x0037,6.671997
#x0038,6.671997
#x0039,6.671997
#x00c0,8.003998
#x00c1,8.003998
#x00c2,8.003998
#x00c3,8.004028
#x00c4,8.004028
#x00c5,8.004028
#x00c7,8.664001
#x00c8,8.003998
#x00c9,8.003998
#x00ca,8.003998
#x00cb,8.003998
#x00cc,3.3359985
#x00cd,3.3359985
#x00ce,3.3359985
#x00cf,3.3359985
#x00d1,8.664001
#x00d2,9.335999
#x00d3,9.335999
#x00d4,9.335999
#x00d5,9.335999
#x00d6,9.335999
#x00d8,9.335999
#x00d9,8.664001
#x00da,8.664001
#x00db,8.664001
#x00dc,8.664001
#x00dd,8.003998
#x00df,7.3320007
#x00e0,6.671997
#x00e1,6.671997
#x00e2,6.671997
#x00e3,6.671997
#x00e4,6.671997
#x00e5,6.671997
#x00e7,6.0
#x00e8,6.671997
#x00e9,6.671997
#x00ea,6.671997
#x00eb,6.671997
#x00ec,3.3359985
#x00ed,3.3359985
#x00ee,3.3359985
#x00ef,3.3359985
#x00f1,6.671997
#x00f2,6.671997
#x00f3,6.671997
#x00f4,6.671997
#x00f5,6.671997
#x00f6,6.671997
#x00f8,7.3320007
#x00f9,6.671997
#x00fa,6.671997
#x00fb,6.671997
#x00fc,6.671997
#x00fd,6.0
#x00db,8.664001
#x00ee,3.3359985
#x0393,6.600006
#x0394,8.1839905
#x0398,9.335999
#x039b,8.003998
#x039e,7.799988
#x03a0,8.664001
#x03a3,7.223999
#x03d2,7.571991
#x03a6,9.696014
#x03a8,9.64801
#x03a9,9.096008
#x03b1,6.9119873
#x03b2,6.756012
#x03b3,6.0
#x03b4,6.6839905
#x03b5,5.208008
#x03b6,5.2800293
#x03b7,6.672001
#x03b8,6.672001
#x03b9,2.6640015
#x03ba,5.975998
#x03bb,6.0
#x03bc,6.6360016
#x03bd,6.0
#x03be,5.1840057
#x03c0,8.136002
#x03c1,6.852005
#x03c3,7.427994
#x03c4,4.5839996
#x03c5,6.6119995
#x03c6,7.727997
#x03c7,6.2640076
#x03c8,8.747986
#x03c9,9.191986
#x03b5,5.208008
#x03d1,7.3919983
#x03d6,9.372009
#x03f1,6.8519897
